,image,rater,label
2658,s3://allattrimages/1.jpg,A28ME7HB71Y0D8,9
2660,s3://allattrimages/1.jpg,A19RSJ8SSR3TQ5,1
2659,s3://allattrimages/1.jpg,A3GAQNTZ1V1VO,3
491,s3://allattrimages/10.jpg,A17PORAJCUTBBB,4
490,s3://allattrimages/10.jpg,A139BGFGT1F9N1,5
489,s3://allattrimages/10.jpg,A25SH3L1UR6Y1Z,10
613,s3://allattrimages/10_1.jpg,A17PORAJCUTBBB,10
614,s3://allattrimages/10_1.jpg,A25SH3L1UR6Y1Z,10
612,s3://allattrimages/10_1.jpg,A3NFGEUZAH9V5G,7
1371,s3://allattrimages/111.jpg,A3GAQNTZ1V1VO,6
1372,s3://allattrimages/111.jpg,A17PORAJCUTBBB,7
1373,s3://allattrimages/111.jpg,A25SH3L1UR6Y1Z,5
2165,s3://allattrimages/115.jpg,A2J6S7QR4CGXTW,4
2164,s3://allattrimages/115.jpg,A17PORAJCUTBBB,7
2163,s3://allattrimages/115.jpg,A1WD0DK58AKBVE,8
343,s3://allattrimages/12.jpg,A19RSJ8SSR3TQ5,2
342,s3://allattrimages/12.jpg,A139BGFGT1F9N1,9
344,s3://allattrimages/12.jpg,A25SH3L1UR6Y1Z,8
139,s3://allattrimages/125.jpg,A25SH3L1UR6Y1Z,7
140,s3://allattrimages/125.jpg,A139BGFGT1F9N1,5
138,s3://allattrimages/125.jpg,AFG3FXABPGSZS,9
0,s3://allattrimages/126.jpg,APAMK3771GR3W,4
1,s3://allattrimages/126.jpg,A3W2AUFBNUPIUW,3
2,s3://allattrimages/126.jpg,A2H90QIP05I3LU,1
1967,s3://allattrimages/127.jpg,A17PORAJCUTBBB,8
1965,s3://allattrimages/127.jpg,A1LK8J9O8U4TK9,6
1966,s3://allattrimages/127.jpg,A25SH3L1UR6Y1Z,6
324,s3://allattrimages/132.jpg,A1T384RE0LFM96,9
326,s3://allattrimages/132.jpg,A19RSJ8SSR3TQ5,6
325,s3://allattrimages/132.jpg,A25SH3L1UR6Y1Z,8
1766,s3://allattrimages/133.jpg,A17PORAJCUTBBB,4
1765,s3://allattrimages/133.jpg,A2X5N4O4K7P0FI,6
1764,s3://allattrimages/133.jpg,A3W2AUFBNUPIUW,4
2641,s3://allattrimages/137.jpg,A3W2AUFBNUPIUW,6
2640,s3://allattrimages/137.jpg,A25SH3L1UR6Y1Z,7
2642,s3://allattrimages/137.jpg,A17PORAJCUTBBB,2
652,s3://allattrimages/140.jpg,A17PORAJCUTBBB,6
651,s3://allattrimages/140.jpg,A139BGFGT1F9N1,5
653,s3://allattrimages/140.jpg,A25SH3L1UR6Y1Z,5
2715,s3://allattrimages/141.jpg,A26Z3YPJ8RYJQJ,7
2716,s3://allattrimages/141.jpg,A139BGFGT1F9N1,6
2717,s3://allattrimages/141.jpg,A25SH3L1UR6Y1Z,7
1475,s3://allattrimages/143.jpg,A17PORAJCUTBBB,9
1474,s3://allattrimages/143.jpg,APAMK3771GR3W,5
1473,s3://allattrimages/143.jpg,A25SH3L1UR6Y1Z,8
2882,s3://allattrimages/17.jpg,A26Z3YPJ8RYJQJ,10
2881,s3://allattrimages/17.jpg,A19RSJ8SSR3TQ5,10
2880,s3://allattrimages/17.jpg,A2WZNLI23LGXBC,4
1481,s3://allattrimages/18.jpg,A17PORAJCUTBBB,1
1479,s3://allattrimages/18.jpg,A28ME7HB71Y0D8,8
1480,s3://allattrimages/18.jpg,AJ6THGXAMSDSO,5
291,s3://allattrimages/2.jpg,A2X5N4O4K7P0FI,5
292,s3://allattrimages/2.jpg,A1T384RE0LFM96,8
293,s3://allattrimages/2.jpg,A25SH3L1UR6Y1Z,9
539,s3://allattrimages/20.jpg,A2WZNLI23LGXBC,5
538,s3://allattrimages/20.jpg,A139BGFGT1F9N1,6
537,s3://allattrimages/20.jpg,A2X5N4O4K7P0FI,10
1100,s3://allattrimages/22.jpg,A25SH3L1UR6Y1Z,8
1099,s3://allattrimages/22.jpg,A2H90QIP05I3LU,2
1098,s3://allattrimages/22.jpg,A3NFGEUZAH9V5G,7
752,s3://allattrimages/23.jpg,A25SH3L1UR6Y1Z,9
751,s3://allattrimages/23.jpg,A17PORAJCUTBBB,6
750,s3://allattrimages/23.jpg,A2WZNLI23LGXBC,8
2904,s3://allattrimages/24.jpg,APAMK3771GR3W,3
2905,s3://allattrimages/24.jpg,A1238R4MJ8FJJS,5
2906,s3://allattrimages/24.jpg,A2CWBA5KCB6BUB,8
960,s3://allattrimages/25.jpg,AJ6THGXAMSDSO,6
961,s3://allattrimages/25.jpg,A25SH3L1UR6Y1Z,10
962,s3://allattrimages/25.jpg,A17PORAJCUTBBB,10
526,s3://allattrimages/26.jpg,A17PORAJCUTBBB,8
