,image,rater,label
1438,s3://allattrimages/0.png,A1GQ2Q1USIMC63,6
1437,s3://allattrimages/0.png,A1LK8J9O8U4TK9,6
1439,s3://allattrimages/0.png,A1DZLZE63NE1ZI,7
2055,s3://allattrimages/11.jpg,AMEO6Y6TOLHSU,6
2056,s3://allattrimages/11.jpg,A2HOABE2N9H5P0,5
2057,s3://allattrimages/11.jpg,A34OBJP7DD6MWZ,8
730,s3://allattrimages/113.jpg,A5BMA5POGL8DW,4
729,s3://allattrimages/113.jpg,A9EABUBJ7QWS5,1
731,s3://allattrimages/113.jpg,ARFDXQ5RCR74G,2
231,s3://allattrimages/114.jpg,A34OBJP7DD6MWZ,7
233,s3://allattrimages/114.jpg,A3ENS1XT17ODR6,6
232,s3://allattrimages/114.jpg,A2EO6IBGQEOMLB,6
2607,s3://allattrimages/116.jpg,A2173NB4RXYT6M,4
2609,s3://allattrimages/116.jpg,A2CWA5VQZ6IWMQ,3
2608,s3://allattrimages/116.jpg,ARNLA2XM2CXR4,7
371,s3://allattrimages/117.jpg,A2CWA5VQZ6IWMQ,3
370,s3://allattrimages/117.jpg,A302KOFOYLD89A,6
369,s3://allattrimages/117.jpg,A37KFD43Z64UQB,7
250,s3://allattrimages/118.jpg,A2HOABE2N9H5P0,5
249,s3://allattrimages/118.jpg,A15DVB43XP2ROJ,8
251,s3://allattrimages/118.jpg,A1DZLZE63NE1ZI,5
1758,s3://allattrimages/119.jpg,A19WWXPWT25JD0,8
1759,s3://allattrimages/119.jpg,A2CWA5VQZ6IWMQ,5
1760,s3://allattrimages/119.jpg,A156E3IYUJ5CKK,1
2384,s3://allattrimages/120.jpg,AVOF14300525D,2
2383,s3://allattrimages/120.jpg,A1FG2G9TZSDN,8
2382,s3://allattrimages/120.jpg,AMEO6Y6TOLHSU,8
2844,s3://allattrimages/121.jpg,A34OBJP7DD6MWZ,6
2845,s3://allattrimages/121.jpg,A7M1QHLTL5ONJ,7
2846,s3://allattrimages/121.jpg,A3VV3K3NYJ2906,5
2143,s3://allattrimages/123.jpg,AY7RI824FORAE,3
2144,s3://allattrimages/123.jpg,A5BMA5POGL8DW,6
2142,s3://allattrimages/123.jpg,A2173NB4RXYT6M,5
2502,s3://allattrimages/124.jpg,A7A1S7KG6L6S,7
2503,s3://allattrimages/124.jpg,A1GQ2Q1USIMC63,7
2504,s3://allattrimages/124.jpg,A3HH7T31PFH49C,6
3,s3://allattrimages/128.jpg,A9EABUBJ7QWS5,6
4,s3://allattrimages/128.jpg,A7A1S7KG6L6S,7
5,s3://allattrimages/128.jpg,A302KOFOYLD89A,7
1763,s3://allattrimages/129.jpg,A1LK8J9O8U4TK9,6
1762,s3://allattrimages/129.jpg,A101U3FTZYY87V,5
1761,s3://allattrimages/129.jpg,A2RVFMCKSSEHDV,7
1979,s3://allattrimages/13.jpg,A27ZW1CY6TMKT8,5
1978,s3://allattrimages/13.jpg,A19WWXPWT25JD0,6
1977,s3://allattrimages/13.jpg,A2RVFMCKSSEHDV,8
897,s3://allattrimages/134.jpg,A36X7Z2KILVR09,6
898,s3://allattrimages/134.jpg,A2RVFMCKSSEHDV,4
899,s3://allattrimages/134.jpg,A2173NB4RXYT6M,5
165,s3://allattrimages/136.jpg,A1LK8J9O8U4TK9,8
166,s3://allattrimages/136.jpg,A27ZW1CY6TMKT8,5
167,s3://allattrimages/136.jpg,A9EABUBJ7QWS5,7
1121,s3://allattrimages/138.jpg,A27ZW1CY6TMKT8,6
1120,s3://allattrimages/138.jpg,A1LK8J9O8U4TK9,7
1119,s3://allattrimages/138.jpg,AY7RI824FORAE,1
960,s3://allattrimages/142.jpg,A2HOABE2N9H5P0,6
961,s3://allattrimages/142.jpg,A1DZLZE63NE1ZI,5
